tahun,bulan,harga_bbm
2019,1,"6.384,81"
2019,2,"6.115,72"
2019,3,"6.617,27"
2019,4,"7.056,66"
2019,5,"7.164,03"
2019,6,"7.339,52"
2019,7,"6.609,90"
2019,8,"6.754,04"
2019,9,"6.607,02"
2019,10,"6.678,95"
2019,11,"6.593,28"
2019,12,"6.373,79"
2020,1,"6.619,19"
2020,2,"6.673,87"
2020,3,"5.630,20"
2020,4,"4.470,92"
2020,5,"3.083,14"
2020,6,"2.801,40"
2020,7,"3.926,00"
2020,8,"4.419,43"
2020,9,"4.402,94"
2020,10,"4.085,95"
2020,11,"4.039,91"
2020,12,"4.024,58"
2021,1,"4.744,61"
2021,2,"5.099,72"
2021,3,"5.649,04"
2021,4,"6.230,06"
2021,5,"6.070,28"
2021,6,"6.382,17"
2021,7,"6.780,94"
2021,8,"7.052,66"
2021,9,"6.708,41"
2021,10,"6.911,34"
2021,11,"8.107,17"
2021,12,"8.262,65"
